FirFlrSF,SecFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
832,384,2,1,442,4,390,336,1,1979,1216,2,8480,80,0,0,5,5,832,1947,1950,118500
1776,0,4,1,0,1,1584,888,1,1979,1776,2,11475,85,95,25,5,5,1584,1958,1958,110000
1006,769,3,1,513,5,227,425,0,1979,1775,3,9317,75,137,72,5,7,740,1993,1993,213000
912,0,2,3,773,6,115,470,2,1979,912,2,7540,70,0,0,6,6,888,1978,1978,156000
1145,0,4,3,655,6,490,836,2,2000,2198,3,14260,84,350,84,5,8,1145,2000,2000,250000
2046,0,3,2,0,1,2046,834,3,2008,2046,3,11844,80,464,82,5,8,2046,2008,2008,372500
729,717,3,4,604,6,125,406,1,1996,1446,2,21872,57,0,22,5,7,729,1996,1997,175000
1561,0,2,1,1153,6,408,556,3,2005,1561,4,7313,60,246,47,5,9,1561,2005,2005,277500
882,0,3,1,138,2,276,461,1,1979,882,2,7700,70,0,0,5,5,882,1972,1972,112500
912,1182,4,1,0,1,912,615,3,2003,2094,3,9375,75,0,182,5,7,912,2003,2004,263000
1500,0,3,3,1032,6,431,712,2,1979,2622,3,12256,98,362,32,5,8,1463,1994,1995,325000
2158,0,4,3,477,5,725,576,1,1979,2158,3,12615,84,0,29,7,6,1202,1950,2001,243000
1360,0,3,1,384,5,0,572,1,1979,1360,2,7134,60,0,50,5,5,384,1955,1955,130000
1310,0,3,3,24,6,1286,400,3,2005,1310,3,8767,65,0,0,5,7,1310,2005,2005,164990
1836,0,3,2,1039,6,797,862,3,2004,1836,3,11362,107,42,185,5,8,1836,2004,2005,280000
1490,1304,4,1,689,0,773,810,3,1979,2794,4,15138,174,506,146,5,8,1462,1995,1996,403000
1728,0,6,1,40,6,1424,352,1,1979,1728,2,10624,70,84,0,4,5,1728,1964,1964,119000
825,0,2,1,180,2,0,720,2,1979,825,2,8235,49,0,50,7,5,825,1955,1995,125000
894,0,3,3,182,2,0,308,1,1979,894,2,10650,75,0,0,6,5,894,1976,1976,128200
918,765,3,1,226,2,192,440,2,1979,1683,2,11184,70,92,0,5,6,918,1978,1978,172500
930,0,2,0,0,0,0,308,1,1979,930,3,11100,60,0,0,7,4,0,1946,2006,84900
1572,1096,3,3,1016,6,556,726,3,2003,2668,4,13688,110,664,0,5,9,1572,2003,2004,412500
1073,0,3,1,836,5,237,515,2,1979,1073,2,10289,79,168,0,7,5,1073,1965,1965,156000
1334,0,2,1,686,5,664,630,2,1979,1334,2,9650,80,360,16,5,6,1350,1977,1977,167900
788,0,2,1,266,4,522,0,0,0,788,2,7446,70,0,0,5,4,788,1941,1950,100000
1644,0,2,4,1518,6,0,569,3,1979,1644,3,12800,70,145,0,5,7,1518,1989,1989,275000
872,0,3,1,0,1,858,480,1,1979,872,2,8294,70,0,0,5,4,858,1971,1971,123000
768,664,2,1,0,1,264,360,1,1979,1432,2,9600,60,0,0,7,5,264,1910,2002,132000
901,900,3,1,0,1,893,800,0,2005,1801,3,10463,72,0,116,5,8,893,2005,2005,239900
1121,0,3,1,651,4,470,480,1,1979,1121,2,8816,80,0,80,6,5,1121,1963,1963,139000
789,0,2,1,104,5,516,250,1,1979,789,2,6000,50,0,0,5,5,789,1948,1950,115000
1054,0,3,4,763,6,173,480,2,1979,1054,3,8800,80,156,0,7,6,936,1963,1963,137500
1048,0,3,1,586,3,462,286,1,1979,1048,2,10152,72,120,20,5,5,1048,1956,1956,135000
1236,0,2,1,360,3,710,447,1,1979,1236,3,10011,72,64,0,6,5,1070,1957,1996,134450
1152,0,3,3,1014,6,138,484,2,1979,1152,2,14112,70,86,0,7,5,1152,1964,1964,180500
1679,0,3,1,1138,6,270,575,2,1979,1679,3,8125,65,258,42,5,6,1408,1994,1998,193500
1478,0,3,1,189,5,628,442,2,1979,1478,2,8400,70,0,0,3,6,1478,1957,1957,156500
928,0,2,1,377,4,551,252,1,1979,928,2,13300,70,0,0,7,5,928,1956,2000,132000
846,846,3,3,0,1,846,650,2,2009,1692,3,13159,83,0,114,5,7,846,2009,2009,224500
661,589,3,1,0,1,661,552,1,1979,1250,2,5362,53,0,0,6,5,661,1910,2003,139000
847,886,3,4,0,1,847,433,3,2003,1733,3,12394,70,0,48,5,7,847,2003,2003,225000
716,716,3,1,425,0,291,432,3,2004,1432,3,7795,71,0,51,5,7,716,2004,2005,188500
1077,0,2,1,851,6,140,205,2,1979,1077,2,7420,50,0,4,6,5,991,1939,1950,118000
944,0,2,0,0,0,0,528,1,1979,944,1,10206,74,0,0,3,3,0,1952,1952,82000
1419,0,2,3,945,0,474,567,2,2007,1419,3,8089,60,0,0,6,8,1419,2007,2007,392000
960,0,3,1,0,1,672,288,1,1979,960,2,8926,70,0,0,3,4,672,1956,1956,112000
1646,0,3,3,0,0,1638,870,2,2006,1646,3,10656,67,274,80,5,8,1638,2006,2007,248900
999,0,3,3,784,3,141,300,1,1979,999,2,10205,69,0,72,5,5,925,1962,1962,134500
779,0,2,1,0,1,742,308,1,1979,935,2,9100,50,0,0,6,5,742,1930,1960,79500
1392,1070,4,2,57,6,1335,576,2,2005,2462,3,19378,134,456,132,5,7,1392,2005,2006,320000
1302,0,3,4,270,2,452,309,2,1979,1302,3,9350,85,108,0,7,6,1302,1964,1991,158000
936,0,2,4,936,6,0,672,1,1979,936,2,7200,60,180,0,5,5,936,1980,1980,140000
864,0,3,1,646,5,218,336,1,1979,864,2,7000,70,90,0,8,5,864,1978,2005,136500
820,527,3,4,969,6,148,0,0,0,1347,2,7000,70,0,0,7,5,1117,1910,1991,107500
990,0,3,1,686,6,304,672,1,1979,990,2,9245,57,0,0,5,5,990,1994,1995,145000
1636,971,3,1,152,4,977,0,0,0,3086,4,18030,138,0,0,6,5,1598,1946,1994,200500
1337,0,3,2,699,6,638,531,2,2003,1337,3,8450,65,0,39,5,7,1337,2003,2003,185000
694,0,3,1,0,1,672,936,1,1979,1214,2,10410,60,0,0,4,3,672,1915,1950,105000
1368,0,2,1,0,1,1368,474,0,2005,1368,3,6792,40,94,35,5,7,1368,2005,2006,202665
1212,0,3,2,36,6,1176,460,2,2009,1212,3,10420,83,0,22,5,6,1212,2009,2009,186000
1080,0,3,1,570,3,510,288,1,1979,1080,2,9464,75,135,0,7,6,1080,1958,1958,136000
804,878,3,1,505,6,299,523,2,1998,1682,3,8750,70,116,77,5,6,804,1998,1998,200500
790,784,3,2,712,6,84,566,3,1979,1574,2,18800,70,120,111,5,6,796,1976,1976,190000
691,807,3,1,592,5,99,409,3,1979,1498,2,13031,70,0,44,5,6,691,1995,1996,187500
920,941,3,1,700,6,216,492,2,2002,1861,3,13450,95,0,91,5,7,916,2002,2002,200000
1258,0,2,3,0,1,1258,648,3,2006,1258,3,3922,53,72,16,5,7,1258,2006,2007,172500
1253,0,3,1,733,3,520,352,2,1979,1253,2,10920,70,212,213,5,6,1253,1960,1960,157000
1484,0,3,3,712,6,761,606,2,2004,1484,3,8400,70,109,35,5,7,1473,2004,2005,213000
1163,511,4,2,0,1,1163,396,3,1979,1674,2,21780,66,0,36,7,6,1163,1918,1950,185000
864,0,3,1,191,5,673,463,1,1979,864,2,8120,70,0,0,7,4,864,1970,1970,124500
1128,445,3,1,0,1,1078,360,1,1979,1573,2,6240,52,0,0,7,5,1078,1930,1992,162900
1734,0,3,3,1300,6,434,660,0,2005,1734,3,11645,78,0,24,5,7,1734,2005,2005,260000
495,1427,4,0,0,0,0,672,2,2003,1922,3,7301,64,500,0,5,7,0,2003,2003,198500
1340,0,3,0,0,0,0,252,0,1979,1340,2,9060,60,98,0,6,5,0,1957,2006,120000
698,728,3,1,535,3,155,440,3,1979,1426,2,7950,75,140,0,6,6,690,1977,1977,159500
720,0,2,1,0,1,624,484,1,1979,720,2,8520,60,0,0,8,6,624,1928,2003,105900
1301,1116,4,1,0,1,1288,462,1,1979,2417,3,16059,121,284,82,5,8,1288,1991,1992,260000
796,566,1,1,732,6,64,480,1,1979,1362,2,14115,85,0,30,5,5,796,1993,1995,143000
951,0,2,1,285,5,666,327,1,1979,951,2,8765,50,0,28,6,4,951,1936,1950,106500
783,701,3,1,0,0,783,393,3,2005,1484,3,10237,65,0,72,5,6,783,2005,2007,178900
773,582,3,1,0,1,684,0,0,0,1355,3,6882,60,0,0,7,6,684,1914,2006,127000
694,0,3,1,365,2,75,352,1,1979,694,3,4280,40,0,0,6,5,440,1913,2002,90350
1029,0,3,2,903,4,126,261,1,1979,1029,2,7943,61,192,0,5,4,1029,1961,1961,118500
1097,896,4,1,416,4,409,495,2,1979,1993,2,14803,70,252,66,5,6,825,1971,1971,190000
793,325,3,2,507,4,286,410,1,1979,1118,2,7800,65,0,0,7,5,793,1939,1950,119900
713,739,3,1,450,6,241,506,1,1999,1452,3,3735,35,218,34,5,7,691,1999,1999,183900
804,744,3,1,556,0,248,440,1,1979,1548,3,2308,24,0,0,6,6,804,1976,1976,155000
2392,0,3,4,56,6,2336,968,3,2003,2392,4,13472,103,922,105,5,10,2392,2003,2003,386250
1040,0,3,1,824,5,216,308,3,1979,1040,2,7500,75,0,0,5,5,1040,1963,1963,133000
1182,960,3,1,448,4,448,509,3,1979,2142,3,13000,100,576,72,6,6,896,1968,1968,193500
1088,871,3,3,0,1,1088,1025,2,2006,1959,3,9000,75,0,46,5,8,1088,2006,2006,270000
1080,0,3,1,680,6,400,0,0,0,1080,3,7500,63,120,0,5,7,1080,2004,2005,141000
703,689,2,1,0,1,689,540,1,2007,1392,3,3604,34,0,102,5,7,689,2007,2007,146000
988,0,3,1,827,4,161,572,1,1979,988,2,9945,70,57,0,5,5,988,1961,1961,128500
1098,880,4,1,552,3,280,486,2,1979,1978,2,9900,70,342,43,5,7,832,1968,1968,176000
1588,0,3,3,1162,5,426,472,2,1999,1588,3,10264,78,183,29,5,7,1588,1999,1999,214000
1478,0,2,3,578,6,892,484,3,2009,1478,3,4403,70,432,144,5,7,1470,2009,2009,222000
2121,0,3,4,0,1,2121,732,3,2006,2121,4,14450,107,315,98,5,9,2121,2006,2007,415298
1301,0,2,1,0,1,1293,572,2,2006,1301,3,7200,60,0,121,5,7,1293,2006,2006,187750
1241,0,1,1,1106,6,135,569,0,2006,1241,3,4274,35,0,116,5,7,1241,2006,2007,199900
1523,0,3,1,644,5,549,478,3,1979,1523,2,11361,104,160,0,5,6,1193,1976,1976,180000
1344,0,3,4,1309,6,35,784,3,1997,1344,2,7060,78,200,0,5,7,1344,1997,1998,206300
1240,0,2,3,0,1,1240,826,2,2006,1240,3,8556,74,0,93,5,7,1240,2006,2006,194000
1120,1120,6,0,0,0,0,528,1,1979,2240,2,7018,64,0,0,5,5,0,1979,1979,142953
1440,0,3,1,678,3,762,467,3,1979,1440,3,12546,70,310,0,7,6,1440,1981,1981,182900
864,0,3,1,0,1,864,280,0,1979,864,2,9353,71,0,0,5,4,864,1970,1970,116050
1680,0,3,1,144,2,379,583,3,1998,1680,3,10140,78,0,73,5,7,1650,1998,1999,213250
944,545,3,1,0,1,778,240,1,1979,1489,2,9900,60,0,0,7,6,778,1940,1950,139500
1349,0,3,1,0,0,1349,539,1,2000,1349,2,8450,65,108,55,5,7,1349,2000,2001,179000
901,0,2,1,0,1,901,281,1,1979,901,2,6000,50,0,0,7,4,901,1954,2000,107900
810,0,3,1,387,5,374,484,2,1979,1603,3,7153,65,0,124,5,6,761,1992,1992,175900
1152,0,3,1,0,1,1092,300,1,1979,1152,3,14000,80,0,36,8,6,1092,1950,2004,158500
1072,0,2,4,547,6,0,525,3,2005,1072,2,3675,35,80,28,5,5,547,2005,2005,145000
2259,0,3,2,35,0,905,450,1,1979,2259,3,21000,70,184,120,5,6,1809,1953,1953,217000
1040,0,3,2,532,2,364,484,1,1979,1040,3,8800,61,0,0,7,5,1040,1977,2008,150500
1258,0,0,3,1198,0,0,400,1,1979,1258,2,12900,60,0,0,4,4,1198,1969,1969,108959
697,804,3,1,518,5,179,420,3,1979,1501,3,7685,70,112,63,5,6,697,1993,1994,165600
1466,0,3,3,16,6,1450,610,3,2007,1466,3,8925,73,0,18,5,8,1466,2007,2007,201000
1053,0,3,1,806,5,247,312,2,1979,1053,3,10007,72,54,0,7,5,1053,1959,2006,145500
1752,0,2,1,456,6,1296,576,2,2005,1752,4,7658,61,412,82,5,9,1752,2005,2005,319900
1494,0,3,4,1443,6,39,514,2,1998,1494,3,16196,70,0,25,5,7,1482,1998,1998,215000
1425,0,3,1,490,0,935,576,2,1979,1425,2,10175,100,272,0,5,6,1425,1964,1964,180500
1702,0,1,1,1540,6,162,1052,3,2008,1702,4,8769,65,766,72,5,9,1702,2008,2008,367294
1800,0,2,1,0,1,1800,702,3,2007,1800,4,11923,122,0,136,5,9,1800,2007,2007,239000
1272,928,4,1,1084,5,188,0,0,0,2200,2,8777,67,0,70,7,5,1272,1900,2003,145900
833,833,3,1,0,1,588,228,1,1979,1666,3,5100,70,0,63,7,8,588,1925,1996,161000
1392,1392,5,1,790,0,133,564,2,1979,2784,3,16692,80,184,112,5,7,1392,1978,1978,250000
1131,0,3,1,168,4,739,672,1,1979,1131,2,5925,50,435,72,7,4,907,1937,2000,89471
792,725,3,1,0,1,792,400,1,1979,1517,3,11435,70,0,0,7,8,792,1929,1950,230000
1120,0,3,1,206,5,914,0,0,0,1120,2,8402,70,0,30,5,5,1120,2007,2007,147000
812,670,3,1,0,1,384,392,3,1979,1482,3,9125,70,170,25,5,7,384,1992,1992,163900
864,0,2,1,524,5,160,576,1,1979,864,2,10500,70,0,0,6,4,864,1971,1971,97000
1188,0,3,1,1000,4,188,531,2,1979,1188,2,12160,70,180,0,5,5,1188,1959,1959,142000
778,798,3,1,0,1,770,614,2,2006,1576,3,8125,65,0,50,5,7,770,2006,2006,197000
960,0,3,3,789,5,171,576,1,1979,960,2,9873,60,160,288,5,4,960,1970,1970,129000
1574,0,3,1,24,6,1550,824,2,2006,1574,3,11957,75,53,104,5,8,1574,2006,2006,232000
997,0,3,1,0,1,793,0,0,0,1517,1,8500,85,0,0,7,5,793,1919,2005,115000
1464,0,3,3,444,5,76,480,2,1979,1464,2,12886,70,0,0,6,5,520,1963,1999,175000
1277,1067,3,1,0,1,1264,889,2,1996,2344,3,10208,79,921,0,5,7,1264,1996,1997,265000
1358,0,2,3,720,6,638,484,2,2004,1358,3,8198,59,146,30,5,7,1358,2004,2004,207000
948,742,3,1,0,1,924,463,2,2000,1690,2,8063,70,0,48,5,6,924,2000,2000,181000
1382,0,3,4,672,4,0,884,1,1979,1382,2,19296,120,399,0,5,6,1362,1962,1962,176000
888,676,3,1,0,1,650,476,1,1979,1564,2,8400,70,130,50,6,6,650,1980,1981,171000
1306,0,1,3,900,5,406,624,0,2005,1306,3,5381,34,135,63,5,6,1306,2005,2005,196000
1137,0,2,1,980,6,92,551,1,1979,1137,3,13811,54,72,0,6,6,1112,1987,1987,176000
988,0,2,1,0,0,988,520,2,1979,988,2,21750,100,0,0,5,5,988,1954,1954,113000
576,533,3,3,349,5,23,288,1,1979,1109,2,10500,70,82,0,7,5,372,1971,2005,139000
1134,0,2,1,588,0,422,254,0,1979,1134,2,7000,70,45,16,7,5,1010,1960,2002,135000
1548,1066,4,1,956,5,384,624,2,1979,2614,2,10800,90,0,243,7,6,1522,1974,1997,240000
865,445,2,1,617,2,0,398,1,1979,1310,2,7000,50,0,0,6,6,617,1924,1950,112000
1080,0,3,1,336,5,748,484,1,1979,1080,2,9187,71,0,0,5,6,1084,1983,1983,134000
1496,636,1,4,1441,6,55,612,3,1979,2132,3,12327,79,0,40,8,8,1496,1983,2009,316600
1222,698,4,1,0,1,570,487,2,1979,1920,3,10192,102,143,98,6,7,570,1968,1992,170000
734,0,2,1,0,1,648,440,0,1979,1118,2,4400,40,0,0,8,6,648,1920,1950,116000
1704,0,3,1,1218,6,486,772,0,2007,1704,3,11478,98,200,50,5,8,1704,2007,2008,306000
861,0,1,1,262,3,599,539,0,1979,861,2,12342,70,0,0,5,4,861,1940,1950,82500
1041,702,3,1,384,5,143,539,1,1979,1743,2,11700,90,365,0,6,6,702,1968,1968,175000
483,504,3,1,321,4,162,280,1,1979,987,2,1869,21,127,0,6,6,483,1970,1970,106000
1220,0,2,3,684,6,515,632,2,2006,1220,3,7406,64,84,54,5,7,1199,2006,2006,194000
1402,0,2,3,0,1,1258,648,3,2006,1402,3,3922,53,72,16,5,7,1258,2006,2007,194201
848,0,3,2,662,6,186,420,2,2004,848,3,4435,37,169,0,5,6,848,2004,2004,155900
990,0,3,1,746,5,244,480,1,1979,990,2,8072,60,0,64,5,5,990,1994,1995,138000
1357,0,2,3,719,5,300,312,2,1979,1357,4,11512,124,84,0,7,6,1019,1959,2006,177000
1535,0,3,1,2,6,1515,532,2,2004,1535,3,10171,70,168,0,5,7,1517,2004,2004,214000
914,0,2,3,298,6,572,576,1,1996,914,2,8846,57,0,0,5,5,870,1996,1996,148000
936,316,3,1,0,1,504,576,1,1979,1252,2,7438,92,0,0,8,5,504,1908,1991,127000
1003,0,3,3,819,6,184,588,0,1979,1003,2,7937,37,0,0,6,6,1003,1984,1984,142500
630,0,1,3,509,6,121,286,1,1979,630,2,1477,21,0,0,4,4,630,1970,1970,80000
1138,0,3,3,507,6,81,264,0,1979,1138,2,10482,65,63,0,8,6,588,1958,1958,145000
858,858,4,1,319,4,539,490,3,1979,1716,2,9247,70,318,84,6,6,858,1962,1962,171000
765,600,2,1,471,5,294,440,1,1979,1365,2,1920,24,376,36,5,5,765,1971,1971,122500
1339,0,3,1,504,2,525,294,1,1979,1339,2,7560,70,0,0,6,5,1029,1958,1965,139000
1228,0,2,2,767,6,461,472,3,1979,1228,3,4671,40,0,120,5,8,1228,1988,1989,189000
778,0,2,1,403,5,212,924,0,1979,778,2,6900,71,0,25,6,5,740,1940,1955,120500
1040,0,3,1,616,4,424,0,0,0,1040,2,8430,60,136,0,5,5,1040,1978,1978,124000
948,980,5,2,0,1,686,0,0,0,1928,2,7082,70,0,0,8,5,686,1916,1995,160000
1338,1296,6,1,500,2,748,968,0,1979,2634,2,11643,91,368,0,5,5,1248,1969,1969,200000
1251,0,3,1,553,0,698,461,0,1979,1251,2,8800,80,425,116,6,6,1251,1964,1964,160000
1476,677,3,2,904,6,536,736,3,2000,2153,4,11050,70,204,142,5,9,1440,2000,2000,313000
1787,0,3,4,0,0,1753,748,2,2001,1787,3,14781,70,178,150,5,8,1753,2001,2002,275000
864,0,2,1,41,3,823,0,0,0,864,2,8248,45,0,0,3,3,864,1914,1950,67000
1114,0,3,1,646,6,468,576,1,2004,1114,3,13695,66,0,102,5,5,1114,2004,2004,159000
1652,0,2,3,1196,6,298,499,2,2000,1652,4,5330,41,0,48,5,8,1494,2000,2000,251000
1040,0,2,0,0,0,0,400,1,1979,1040,2,8544,60,0,0,4,3,0,1950,1950,92900
784,0,2,1,784,5,0,0,0,0,784,3,6130,50,0,0,6,5,784,1924,1950,109500
1842,0,0,4,1810,6,32,894,3,1979,1842,3,50271,68,0,72,5,9,1842,1981,1987,385000
1465,915,3,1,187,2,111,596,1,1979,2380,2,18450,70,113,265,5,6,1021,1965,1979,129000
1411,0,3,1,822,5,564,544,3,1979,1411,2,11900,85,209,0,5,7,1386,1977,1977,82500
1553,1177,4,4,28,2,0,576,0,1979,2730,3,10380,86,172,96,5,7,1502,1986,1987,301000
1656,0,3,3,24,6,1632,826,0,2006,1656,3,11096,84,0,146,5,8,1656,2006,2006,249700
630,0,1,3,495,5,135,0,0,0,630,2,1890,21,0,0,7,4,630,1972,1972,81000
1472,0,3,3,1036,6,336,588,1,1979,1472,2,14115,70,225,48,5,7,1372,1980,1980,187500
1392,0,2,1,0,1,1392,576,2,1979,1392,2,13560,120,216,0,3,6,1392,1968,1968,110000
1001,634,2,1,0,1,485,255,1,1979,1635,3,5310,59,0,0,8,6,485,1910,2003,117000
864,0,3,2,360,4,504,288,2,1979,864,2,9560,120,0,0,7,5,864,1972,1972,128500
1506,0,2,4,16,6,1346,440,0,2005,1506,3,3013,43,145,20,5,7,1362,2005,2005,213490
1006,1040,3,1,866,6,132,871,2,2003,2046,3,10625,85,292,62,5,7,998,2003,2004,284000
1454,482,3,1,0,1,1406,504,2,2000,1936,3,11194,106,40,124,5,8,1406,2000,2000,230500
1888,0,2,1,247,0,557,578,3,1979,1888,3,16492,137,0,0,6,6,1517,1966,2002,190000
1236,0,3,1,465,3,447,288,1,1979,1236,2,6993,65,0,0,7,5,912,1961,1994,135000
1370,0,3,1,0,1,1090,479,2,1979,1370,2,10400,80,189,0,5,7,1090,1976,1976,152000
1040,0,2,0,0,0,0,400,1,1979,1040,2,8544,70,340,0,4,3,0,1949,1950,87500
575,560,3,1,350,5,0,576,2,1979,1135,3,7200,60,0,0,9,7,560,1936,2007,155000
864,0,3,1,432,5,432,0,0,0,864,2,10500,70,0,0,5,4,864,1971,1971,115000
1099,0,3,1,0,1,1099,352,1,1979,1099,3,9525,75,0,0,6,5,1099,1995,2006,144000
979,871,3,1,595,6,378,467,3,1979,1850,3,29959,70,0,98,6,7,973,1994,1994,248000
825,587,4,1,0,1,780,280,1,1979,1412,2,6000,50,0,0,6,6,780,1939,1950,132500
896,896,4,1,0,1,896,0,0,0,1792,2,9000,60,0,45,5,5,896,1974,1974,136000
833,0,2,1,415,4,418,326,1,1979,833,3,5400,90,0,0,7,5,833,1954,2000,117000
1152,0,3,0,0,0,0,0,0,0,1152,1,6040,65,0,0,5,4,0,1955,1955,82000
1478,0,3,1,1270,3,208,498,1,1979,1478,2,17600,70,30,40,5,6,1478,1960,1960,157500
720,564,2,1,312,2,408,240,1,1979,1284,2,3500,50,0,35,7,5,720,1947,1950,110000
892,783,3,1,0,1,841,502,3,1999,1675,2,24682,70,0,103,5,6,841,1999,1999,181000
936,840,3,0,0,1,936,474,2,2002,1776,3,14006,65,144,96,5,7,936,2002,2002,192500
920,866,3,2,486,6,434,608,2,2001,1786,3,11250,68,162,42,5,7,920,2001,2002,223500
1262,0,3,4,978,5,284,460,2,1979,1262,2,9600,80,0,0,8,6,1262,1976,1976,181500
1088,0,2,1,0,1,1074,461,2,1979,1088,3,3696,70,0,74,5,8,1074,1986,1986,170000
1360,0,1,3,1036,6,184,565,2,1979,1360,3,5814,70,0,0,5,8,1220,1984,1984,187500
770,812,3,1,490,6,280,520,2,2004,1582,3,8320,64,0,45,5,7,770,2004,2004,185900
976,332,2,1,428,4,300,256,1,1979,1308,2,9600,130,0,70,7,5,728,1940,1950,160000
1431,0,3,3,560,6,871,666,3,1999,1431,3,9017,68,0,35,5,7,1431,1999,1999,192000
1429,0,3,1,594,3,331,572,1,1979,1429,3,14585,70,85,110,6,6,1144,1960,1987,181900
1095,844,3,2,0,1,1095,1053,2,2006,1939,3,10728,84,0,51,5,8,1095,2006,2006,266000
864,0,2,1,0,1,864,0,0,0,864,2,4060,56,0,96,8,5,864,1922,1950,99900
1426,1519,3,4,0,1,1410,641,3,2006,2945,3,13682,66,1031,0,5,10,1410,2006,2006,438780
1314,0,3,2,936,6,364,552,2,2009,1314,3,8640,72,72,112,5,8,1300,2009,2009,229456
1836,0,3,1,24,6,1836,484,3,2004,1836,3,9100,70,0,33,5,7,1860,2004,2005,216837
866,0,2,1,329,5,357,0,0,0,866,3,3880,40,0,42,9,5,686,1945,1997,110500
1569,0,1,1,988,0,398,660,0,2007,1569,3,3635,51,130,20,5,7,1386,2007,2007,175900
1690,1589,4,4,1416,5,234,841,3,2003,3279,4,53504,47,603,36,5,8,1650,2003,2003,538000
4692,950,3,4,5644,6,466,1418,3,2008,5642,4,63887,313,796,292,5,10,6110,2008,2008,160000
983,756,3,1,649,6,321,480,3,1999,1739,3,2645,24,456,0,5,8,970,1999,2000,172500
755,755,4,2,0,1,755,296,0,1979,1510,2,9084,60,0,0,5,4,755,1940,1950,108000
1050,745,4,1,0,1,1050,352,1,1979,1795,2,12150,81,335,0,5,5,1050,1954,1954,131500
694,600,3,0,0,0,0,0,0,0,1294,2,10800,60,0,114,7,4,0,1900,2000,106250
2084,0,2,3,1636,6,442,1220,3,2007,2084,4,14803,114,816,45,5,10,2078,2007,2008,385000
1766,0,3,2,1121,6,645,478,3,2009,1766,4,9187,85,162,130,5,9,1766,2009,2009,370878
